iConf CONFORMER     FL  occ    crg   Em0  pKa0 ne nH    vdw0    vdw1    tors    epol   dsolv   extra    history
00001 SAH-1A0001_001 f 0.00 -0.996     0  0.00  0  0  -4.234   0.000   0.000   0.000 -28.009   0.003 -1O000M000t
00002 SAH-1A0001_002 f 0.00 -0.996     0  0.00  0  0  -8.090   0.000   0.000   0.000 -25.735   0.003 -1O000M000t
00003 SAH-aA0001_003 f 0.00 -1.999     0  0.00  0  0 999.000   0.000   0.000   0.000 -47.741   3.345 -aO000M000t
00004 SAH-aA0001_004 f 0.00 -1.999     0  0.00  0  0 999.000   0.000   0.000   0.000 -49.202   3.345 -aO000M000t
00005 SAH-bA0001_005 f 0.00 -2.088     0  0.00  0  0 999.000   0.000   0.000   0.000 -55.843   4.080 -bO000M000t
00006 SAH-bA0001_006 f 0.00 -2.088     0  0.00  0  0 999.000   0.000   0.000   0.000 -54.419   4.080 -bO000M000t
00007 SAH-cA0001_007 f 0.00 -1.997     0  0.00  0  0 999.000   0.000   0.000   0.000 -45.402   4.390 -cO000M000t
00008 SAH-cA0001_008 f 0.00 -1.997     0  0.00  0  0 999.000   0.000   0.000   0.000 -44.974   4.390 -cO000M000t
00009 SAH01A0001_009 f 0.00 -0.439     0  0.00  0  0  -3.626   0.000   0.000   0.000 -17.498   4.435 01O000M000t
00010 SAHDMA0001_010 f 0.00  0.000     0  0.00  0  0   0.000   0.000   0.000   0.000   0.000   0.000         DMt
